Pattern_End_Date,Next_Date,Next_Return,Next_Up,Day1_Date,Day1_Return,Day2_Date,Day2_Return,Day3_Date,Day3_Return,Day4_Date,Day4_Return,Day5_Date,Day5_Return
2015-01-15,2015-01-16,0.0131,YES,2015-01-09,-0.0080,2015-01-12,-0.0078,2015-01-13,-0.0028,2015-01-14,-0.0060,2015-01-15,-0.0092
2015-07-27,2015-07-28,0.0123,YES,2015-07-21,-0.0040,2015-07-22,-0.0018,2015-07-23,-0.0056,2015-07-24,-0.0104,2015-07-27,-0.0058
2015-08-24,2015-08-25,-0.0118,NO,2015-08-18,-0.0029,2015-08-19,-0.0079,2015-08-20,-0.0209,2015-08-21,-0.0301,2015-08-24,-0.0421
2015-08-25,2015-08-26,0.0384,YES,2015-08-19,-0.0079,2015-08-20,-0.0209,2015-08-21,-0.0301,2015-08-24,-0.0421,2015-08-25,-0.0118
2015-09-28,2015-09-29,0.0006,YES,2015-09-22,-0.0130,2015-09-23,-0.0016,2015-09-24,-0.0036,2015-09-25,-0.0003,2015-09-28,-0.0251
2016-06-15,2016-06-16,0.0030,YES,2016-06-09,-0.0014,2016-06-10,-0.0095,2016-06-13,-0.0077,2016-06-14,-0.0020,2016-06-15,-0.0014
2018-10-24,2018-10-25,0.0179,YES,2018-10-18,-0.0144,2018-10-19,-0.0005,2018-10-22,-0.0045,2018-10-23,-0.0051,2018-10-24,-0.0303
2018-11-14,2018-11-15,0.0104,YES,2018-11-08,-0.0018,2018-11-09,-0.0098,2018-11-12,-0.0187,2018-11-13,-0.0019,2018-11-14,-0.0068
2018-12-19,2018-12-20,-0.0163,NO,2018-12-13,-0.0003,2018-12-14,-0.0185,2018-12-17,-0.0196,2018-12-18,-0.0011,2018-12-19,-0.0150
2018-12-20,2018-12-21,-0.0205,NO,2018-12-14,-0.0185,2018-12-17,-0.0196,2018-12-18,-0.0011,2018-12-19,-0.0150,2018-12-20,-0.0163
2018-12-21,2018-12-24,-0.0264,NO,2018-12-17,-0.0196,2018-12-18,-0.0011,2018-12-19,-0.0150,2018-12-20,-0.0163,2018-12-21,-0.0205
2018-12-24,2018-12-26,0.0505,YES,2018-12-18,-0.0011,2018-12-19,-0.0150,2018-12-20,-0.0163,2018-12-21,-0.0205,2018-12-24,-0.0264
2019-03-08,2019-03-11,0.0145,YES,2019-03-04,-0.0036,2019-03-05,-0.0014,2019-03-06,-0.0061,2019-03-07,-0.0084,2019-03-08,-0.0020
2019-08-02,2019-08-05,-0.0301,NO,2019-07-29,-0.0018,2019-07-30,-0.0025,2019-07-31,-0.0109,2019-08-01,-0.0087,2019-08-02,-0.0075
2019-08-05,2019-08-06,0.0140,YES,2019-07-30,-0.0025,2019-07-31,-0.0109,2019-08-01,-0.0087,2019-08-02,-0.0075,2019-08-05,-0.0301
2020-02-26,2020-02-27,-0.0449,NO,2020-02-20,-0.0041,2020-02-21,-0.0103,2020-02-24,-0.0332,2020-02-25,-0.0303,2020-02-26,-0.0037
2020-02-27,2020-02-28,-0.0042,NO,2020-02-21,-0.0103,2020-02-24,-0.0332,2020-02-25,-0.0303,2020-02-26,-0.0037,2020-02-27,-0.0449
2020-02-28,2020-03-02,0.0433,YES,2020-02-24,-0.0332,2020-02-25,-0.0303,2020-02-26,-0.0037,2020-02-27,-0.0449,2020-02-28,-0.0042
2020-10-19,2020-10-20,0.0040,YES,2020-10-13,-0.0065,2020-10-14,-0.0063,2020-10-15,-0.0012,2020-10-16,-0.0006,2020-10-19,-0.0152
2021-09-10,2021-09-13,0.0026,YES,2021-09-03,-0.0002,2021-09-07,-0.0036,2021-09-08,-0.0012,2021-09-09,-0.0043,2021-09-10,-0.0079
2022-01-10,2022-01-11,0.0091,YES,2022-01-04,-0.0003,2022-01-05,-0.0192,2022-01-06,-0.0009,2022-01-07,-0.0040,2022-01-10,-0.0012
2022-06-14,2022-06-15,0.0143,YES,2022-06-08,-0.0109,2022-06-09,-0.0238,2022-06-10,-0.0290,2022-06-13,-0.0380,2022-06-14,-0.0030
2022-07-14,2022-07-15,0.0191,YES,2022-07-08,-0.0008,2022-07-11,-0.0114,2022-07-12,-0.0088,2022-07-13,-0.0053,2022-07-14,-0.0024
2022-09-26,2022-09-27,-0.0026,NO,2022-09-20,-0.0115,2022-09-21,-0.0174,2022-09-22,-0.0084,2022-09-23,-0.0168,2022-09-26,-0.0099
2022-09-27,2022-09-28,0.0197,YES,2022-09-21,-0.0174,2022-09-22,-0.0084,2022-09-23,-0.0168,2022-09-26,-0.0099,2022-09-27,-0.0026
2022-10-11,2022-10-12,-0.0033,NO,2022-10-05,-0.0023,2022-10-06,-0.0103,2022-10-07,-0.0279,2022-10-10,-0.0076,2022-10-11,-0.0063
2022-10-12,2022-10-13,0.0264,YES,2022-10-06,-0.0103,2022-10-07,-0.0279,2022-10-10,-0.0076,2022-10-11,-0.0063,2022-10-12,-0.0033
2022-12-07,2022-12-08,0.0078,YES,2022-12-01,-0.0007,2022-12-02,-0.0012,2022-12-05,-0.0180,2022-12-06,-0.0144,2022-12-07,-0.0017
2023-10-23,2023-10-24,0.0075,YES,2023-10-17,-0.0000,2023-10-18,-0.0133,2023-10-19,-0.0088,2023-10-20,-0.0123,2023-10-23,-0.0017
2024-04-18,2024-04-19,-0.0087,NO,2024-04-12,-0.0138,2024-04-15,-0.0125,2024-04-16,-0.0018,2024-04-17,-0.0059,2024-04-18,-0.0021
2024-04-19,2024-04-22,0.0092,YES,2024-04-15,-0.0125,2024-04-16,-0.0018,2024-04-17,-0.0059,2024-04-18,-0.0021,2024-04-19,-0.0087
2025-08-01,2025-08-04,0.0152,YES,2025-07-28,-0.0003,2025-07-29,-0.0026,2025-07-30,-0.0013,2025-07-31,-0.0038,2025-08-01,-0.0164
2025-08-21,2025-08-22,0.0154,YES,2025-08-15,-0.0023,2025-08-18,-0.0002,2025-08-19,-0.0054,2025-08-20,-0.0027,2025-08-21,-0.0040
