symbol,qualified,years,avg_volume,rows,first_date,last_date,has_options,error
NVDA,True,11.0,178908501.3691808,2771,2015-01-02,2026-01-08,True,
SOXL,True,11.0,61598827.89317936,2771,2015-01-02,2026-01-08,True,
AMD,True,11.0,56980892.59040058,2771,2015-01-02,2026-01-08,True,
XLF,True,11.0,51073141.77769759,2771,2015-01-02,2026-01-08,True,
TSLA,True,11.0,45685264.320822805,2771,2015-01-02,2026-01-08,True,
HYG,True,11.0,45654484.63514976,2771,2015-01-02,2026-01-08,True,
SMCI,True,11.0,43989133.334897146,2771,2015-01-02,2026-01-08,True,
LRCX,True,11.0,40024195.46950559,2771,2015-01-02,2026-01-08,True,
LQD,True,11.0,39355234.765066765,2771,2015-01-02,2026-01-08,True,
WDAY,True,11.0,35182929.69036449,2771,2015-01-02,2026-01-08,True,
SPY,True,11.0,35047559.478527606,2771,2015-01-02,2026-01-08,True,
JPM,True,11.0,34372752.55431252,2771,2015-01-02,2026-01-08,True,
BA,True,11.0,33337560.94550704,2771,2015-01-02,2026-01-08,True,
F,True,11.0,32690600.60591844,2771,2015-01-02,2026-01-08,True,
CRM,True,11.0,32450200.268134248,2771,2015-01-02,2026-01-08,True,
AAPL,True,11.0,32123716.18621436,2771,2015-01-02,2026-01-08,True,
AMPL,True,11.0,31720655.28444616,2591,2015-01-02,2026-01-08,True,
UNH,True,11.0,31598404.6957777,2771,2015-01-02,2026-01-08,True,
ANGL,True,11.0,30018981.54745579,2771,2015-01-02,2026-01-08,True,
AMKR,True,11.0,29992145.409238543,2771,2015-01-02,2026-01-08,True,
AON,True,11.0,29866449.56008661,2771,2015-01-02,2026-01-08,True,
AN,True,11.0,29632748.79646337,2771,2015-01-02,2026-01-08,True,
ANGO,True,11.0,29528783.447131,2771,2015-01-02,2026-01-08,True,
ANDE,True,11.0,29442942.786358718,2771,2015-01-02,2026-01-08,True,
BAC,True,11.0,29068894.159870084,2771,2015-01-02,2026-01-08,True,
IWM,True,11.0,28873740.310357276,2771,2015-01-02,2026-01-08,True,
GDX,True,11.0,27136054.153013352,2771,2015-01-02,2026-01-08,True,
AMZN,True,11.0,26683211.481414653,2771,2015-01-02,2026-01-08,True,
UPST,True,11.0,26155480.7087694,2771,2015-01-02,2026-01-08,True,
FXI,True,11.0,25461723.338145077,2771,2015-01-02,2026-01-08,True,
XLI,True,11.0,25217385.03211837,2771,2015-01-02,2026-01-08,True,
INTC,True,11.0,24838184.18116204,2771,2015-01-02,2026-01-08,True,
PANW,True,11.0,23976389.33489715,2771,2015-01-02,2026-01-08,True,
MCK,True,11.0,23449611.617827497,2771,2015-01-02,2026-01-08,True,
XLE,True,11.0,23277648.035727173,2771,2015-01-02,2026-01-08,True,
QQQ,True,11.0,23274348.32298809,2771,2015-01-02,2026-01-08,True,
PEP,True,11.0,23012532.662576687,2771,2015-01-02,2026-01-08,True,
