symbol,ok,earliest,latest,years,adv_shares,adv_dollar,has_options
SPY,True,2021-01-11,2026-01-08,4.991101984941821,79646733.63333334,54917219307.51967,True
QQQ,True,2021-01-11,2026-01-08,4.991101984941821,56125113.25,34823949018.2275,True
TSLA,True,2021-01-11,2026-01-08,4.991101984941821,79404231.05,34604363891.59,True
NVDA,True,2021-01-11,2026-01-08,4.991101984941821,186081078.46666667,34432442759.472,True
AAPL,True,2021-01-11,2026-01-08,4.991101984941821,45669116.06666667,11830127825.909336,True
GOOGL,True,2021-01-11,2026-01-08,4.991101984941821,36292961.38333333,11811181352.592,True
META,True,2021-06-30,2026-01-08,4.525667351129363,18232781.116666667,11779470568.233665,True
AMZN,True,2021-01-11,2026-01-08,4.991101984941821,45268476.666666664,11149173118.233332,True
MSFT,True,2021-01-11,2026-01-08,4.991101984941821,23282990.466666665,11131830572.018,True
IWM,True,2021-01-11,2026-01-08,4.991101984941821,40659476.28333333,10501122939.696499,True
AVGO,True,2021-01-11,2026-01-08,4.991101984941821,28629140.25,9518616550.32,True
AMD,True,2021-01-11,2026-01-08,4.991101984941821,43956065.25,8996927435.37,True
MU,True,2021-01-11,2026-01-08,4.991101984941821,26757211.9,8750143435.537998,True
PLTR,True,2021-01-11,2026-01-08,4.991101984941821,46464188.46666667,8217656372.214667,True
GOOG,True,2021-01-11,2026-01-08,4.991101984941821,23195830.333333332,7562072646.969999,True
GLD,True,2021-01-11,2026-01-08,4.991101984941821,14409554.716666667,5929387670.361167,True
TQQQ,True,2021-01-11,2026-01-08,4.991101984941821,106284968.18333334,5759582425.854834,True
ORCL,True,2021-01-11,2026-01-08,4.991101984941821,25175597.033333335,4774551977.371667,True
SOXL,True,2021-01-11,2026-01-08,4.991101984941821,90066339.91666667,4471793776.8625,True
NFLX,True,2021-01-11,2026-01-08,4.991101984941821,44373658.05,4017147263.2665,True
TSM,True,2021-01-11,2026-01-08,4.991101984941821,12439999.916666666,3956044373.4991665,True
LLY,True,2021-01-11,2026-01-08,4.991101984941821,3533117.5,3834103779.8250003,True
INTC,True,2021-01-11,2026-01-08,4.991101984941821,87724852.03333333,3606368667.090333,True
LQD,True,2021-01-11,2026-01-08,4.991101984941821,31999314.416666668,3527604421.2933335,True
SLV,True,2021-01-11,2026-01-08,4.991101984941821,50093343.05,3492006944.0154996,True
HYG,True,2021-01-11,2026-01-08,4.991101984941821,40424374.1,3271948839.654,True
DIA,True,2021-01-11,2026-01-08,4.991101984941821,6379747.416666667,3142216995.130833,True
MSTR,True,2021-01-11,2026-01-08,4.991101984941821,17542852.166666668,2929130026.2683334,True
JPM,True,2021-01-11,2026-01-08,4.991101984941821,8796743.483333332,2901078033.3684998,True
TLT,True,2021-01-11,2026-01-08,4.991101984941821,32575445.366666667,2845465152.778333,True
SMH,True,2021-01-11,2026-01-08,4.991101984941821,7315535.8,2772441757.484,True
UNH,True,2021-01-11,2026-01-08,4.991101984941821,7423672.383333334,2574900766.159167,True
APP,True,2021-04-15,2026-01-08,4.733744010951403,3990937.3333333335,2460532594.12,True
BRK.B,True,2021-01-11,2026-01-08,4.991101984941821,4833623.6,2415700066.5719995,True
COST,True,2021-01-11,2026-01-08,4.991101984941821,2630535.8,2407755723.0979996,True
XLK,True,2021-01-11,2026-01-08,4.991101984941821,16685828.8,2406763946.1120005,True
SQQQ,True,2021-01-11,2026-01-08,4.991101984941821,35749786.86333333,2380578307.2293663,True
GDX,True,2021-01-11,2026-01-08,4.991101984941821,25959408.666666668,2376324269.346667,True
XLF,True,2021-01-11,2026-01-08,4.991101984941821,41704772.2,2331296765.98,True
LRCX,True,2021-01-11,2026-01-08,4.991101984941821,11042872.75,2219175707.84,True
V,True,2021-01-11,2026-01-08,4.991101984941821,6226565.833333333,2193183283.475,True
WMT,True,2021-01-11,2026-01-08,4.991101984941821,19155017.383333333,2165857815.5334997,True
CRM,True,2021-01-11,2026-01-08,4.991101984941821,7960997.716666667,2074078735.1231666,True
BAC,True,2021-01-11,2026-01-08,4.991101984941821,36844653.8,2069932650.4839997,True
AMAT,True,2021-01-11,2026-01-08,4.991101984941821,7194830.216666667,2026351982.222,True
GS,True,2021-01-11,2026-01-08,4.991101984941821,2139268.716666667,1999852574.4015002,True
XLV,True,2021-01-11,2026-01-08,4.991101984941821,12472160.25,1972097978.73,True
BABA,True,2021-01-11,2026-01-08,4.991101984941821,12172057.5,1880217722.025,True
BA,True,2021-01-11,2026-01-08,4.991101984941821,8260827.366666666,1878346926.6326666,True
RKLB,True,2021-08-25,2026-01-08,4.372347707049966,22593906.266666666,1877101732.6346664,True
XOM,True,2021-01-11,2026-01-08,4.991101984941821,15105597.916666666,1856629039.9374998,True
CVNA,True,2021-01-11,2026-01-08,4.991101984941821,4124576.2666666666,1825454964.1013331,True
QCOM,True,2021-01-11,2026-01-08,4.991101984941821,10003960.666666666,1819420326.4466667,True
JNJ,True,2021-01-11,2026-01-08,4.991101984941821,8480572.166666666,1744877723.2916665,True
XLI,True,2021-01-11,2026-01-08,4.991101984941821,10649220.1,1705685583.4169998,True
ASML,True,2021-01-11,2026-01-08,4.991101984941821,1420136.5833333333,1696097524.2066665,True
BE,True,2021-01-11,2026-01-08,4.991101984941821,13839980.916666666,1686263274.8866665,True
WDC,True,2021-01-11,2026-01-08,4.991101984941821,8975940.2,1684604456.7359998,True
CAT,True,2021-01-11,2026-01-08,4.991101984941821,2711727.466666667,1649082824.3040001,True
UBER,True,2021-01-11,2026-01-08,4.991101984941821,18570536.766666666,1626593315.3923333,True
PFE,True,2021-01-11,2026-01-08,4.991101984941821,63900712.71666667,1616049024.6045,True
MA,True,2021-01-11,2026-01-08,4.991101984941821,2755575.75,1598426825.3025002,True
C,True,2021-01-11,2026-01-08,4.991101984941821,13042515.35,1572927351.2099998,True
LITE,True,2021-01-11,2026-01-08,4.991101984941821,4397614.416666667,1531513196.7483335,True
CSCO,True,2021-01-11,2026-01-08,4.991101984941821,20534135.816666666,1518704685.0006666,True
MRK,True,2021-01-11,2026-01-08,4.991101984941821,13641758.516666668,1514098777.7648335,True
HD,True,2021-01-11,2026-01-08,4.991101984941821,4168991.7,1499002655.6520002,True
EEM,True,2021-01-11,2026-01-08,4.991101984941821,25902712.166666668,1473087240.9183333,True
TXN,True,2021-01-11,2026-01-08,4.991101984941821,7762561.416666667,1462854698.9708333,True
XLE,True,2021-01-11,2026-01-08,4.991101984941821,31105725.583333332,1447971525.9041665,True
MRVL,True,2021-01-11,2026-01-08,4.991101984941821,17170496.816666666,1432877959.3508334,True
IBM,True,2021-01-11,2026-01-08,4.991101984941821,4705449.633333334,1424433713.002667,True
CVX,True,2021-01-11,2026-01-08,4.991101984941821,8777050.316666666,1397745262.9291666,True
WFC,True,2021-01-11,2026-01-08,4.991101984941821,14614950.066666666,1397189226.3733332,True
XLY,True,2021-01-11,2026-01-08,4.991101984941821,11067372.6,1360401439.9919999,True
PG,True,2021-01-11,2026-01-08,4.991101984941821,9598809.833333334,1358519555.7116668,True
GE,True,2021-01-11,2026-01-08,4.991101984941821,4309954.4,1355222061.536,True
ADBE,True,2021-01-11,2026-01-08,4.991101984941821,3889728.716666667,1318773624.098667,True
KLAC,True,2021-01-11,2026-01-08,4.991101984941821,980047.5833333334,1298171028.8833332,True
SHOP,True,2021-01-11,2026-01-08,4.991101984941821,7713373.616666666,1298006512.2126665,True
ABBV,True,2021-01-11,2026-01-08,4.991101984941821,5776330.483333333,1294648951.2295,True
XBI,True,2021-01-11,2026-01-08,4.991101984941821,10366811.816666666,1282478289.8398333,True
LIN,True,2021-01-11,2026-01-08,4.991101984941821,2819521.566666667,1239715437.6476667,True
F,True,2021-01-11,2026-01-08,4.991101984941821,85326956.01666667,1228708166.64,True
T,True,2021-01-11,2026-01-08,4.991101984941821,50216423.45,1213730954.7865002,True
ASTS,True,2021-04-07,2026-01-08,4.75564681724846,13304524.5,1204857738.72,True
STX,True,2021-01-11,2026-01-08,4.991101984941821,4233250.583333333,1204232793.4408333,True
NOW,True,2021-01-11,2026-01-08,4.991101984941821,8211729.066666666,1200472672.256,True
DIS,True,2021-01-11,2026-01-08,4.991101984941821,10476557.316666666,1196108548.8438332,True
DASH,True,2021-01-11,2026-01-08,4.991101984941821,5239842.3,1174248659.4299998,True
ISRG,True,2021-01-11,2026-01-08,4.991101984941821,2002033.4333333333,1171349721.1746666,True
NKE,True,2021-01-11,2026-01-08,4.991101984941821,17651878.7,1151961603.9620001,True
FXI,True,2021-01-11,2026-01-08,4.991101984941821,29049243.383333333,1144540189.3033333,True
XLP,True,2021-01-11,2026-01-08,4.991101984941821,14541583.766666668,1140641830.6573334,True
KO,True,2021-01-11,2026-01-08,4.991101984941821,16437096.183333334,1140241362.2378335,True
INTU,True,2021-01-11,2026-01-08,4.991101984941821,1718611.85,1121823885.0875,True
KRE,True,2021-01-11,2026-01-08,4.991101984941821,16377567.666666666,1114984806.7466667,True
VZ,True,2021-01-11,2026-01-08,4.991101984941821,27425720.25,1112661470.5425,True
SNPS,True,2021-01-11,2026-01-08,4.991101984941821,2161706.85,1112176557.2565,True
