symbol,ok,earliest,latest,years,adv_shares,adv_dollar,has_options
TSLA,True,2015-01-02,2024-12-30,9.99315537303217,92748341.48333333,38714085218.55817,True
NVDA,True,2015-01-02,2024-12-30,9.99315537303217,220676333.96666667,30340789157.077003,True
SPY,True,2015-01-02,2024-12-30,9.99315537303217,45354763.8,26678579162.436,True
QQQ,True,2015-01-02,2024-12-30,9.99315537303217,28783355.333333332,14840985843.42,True
AAPL,True,2015-01-02,2024-12-30,9.99315537303217,43810671.833333336,11049051436.366667,True
MSFT,True,2015-01-02,2024-12-30,9.99315537303217,20961374.25,8905020622.6275,True
MSTR,True,2015-01-02,2024-12-30,9.99315537303217,27879088.983333334,8446248798.390666,True
AMZN,True,2015-01-02,2024-12-30,9.99315537303217,38091762.86666667,8429707122.393333,True
META,True,2015-01-02,2024-12-30,9.99315537303217,12109551.566666666,7159651268.276,True
AVGO,True,2015-01-02,2024-12-30,9.99315537303217,28071960.65,6613192489.927,True
PLTR,True,2020-09-30,2024-12-30,4.249144421629021,76036605.13333334,5868505184.190668,True
IWM,True,2015-01-02,2024-12-30,9.99315537303217,25884220.1,5712129691.668,True
GOOGL,True,2015-01-02,2024-12-30,9.99315537303217,27749525.716666665,5306819298.055333,True
AMD,True,2015-01-02,2024-12-30,9.99315537303217,36799402.93333333,4505718895.157332,True
GOOG,True,2015-01-02,2024-12-30,9.99315537303217,18885823.916666668,3639109410.5025,True
TLT,True,2015-01-02,2024-12-30,9.99315537303217,41225631.166666664,3619610416.433333,True
TQQQ,True,2015-01-02,2024-12-30,9.99315537303217,84470111.6,3432020634.308,True
NFLX,True,2015-01-02,2024-12-30,9.99315537303217,32962833.166666668,2968072386.826167,True
LLY,True,2015-01-02,2024-12-30,9.99315537303217,3778941.9,2924296399.896,True
TSM,True,2015-01-02,2024-12-30,9.99315537303217,13560941.633333333,2717477093.9036665,True
HYG,True,2015-01-02,2024-12-30,9.99315537303217,33462339.4,2632147617.204,True
SMCI,True,2015-01-02,2024-12-30,9.99315537303217,81182956.78333333,2490693114.1126666,True
LQD,True,2015-01-02,2024-12-30,9.99315537303217,23059081.016666666,2469858167.6951666,True
BA,True,2015-01-02,2024-12-30,9.99315537303217,13567042.433333334,2395261341.605,True
UNH,True,2015-01-02,2024-12-30,9.99315537303217,4529289.1,2299973004.98,True
SOXL,True,2015-01-02,2024-12-30,9.99315537303217,75714009.55,2115449426.827,True
JPM,True,2015-01-02,2024-12-30,9.99315537303217,8695851.633333333,2081091212.8893332,True
CRM,True,2015-01-02,2024-12-30,9.99315537303217,5902682.866666666,1981766745.6546667,True
XLF,True,2015-01-02,2024-12-30,9.99315537303217,40062866.96666667,1934235217.1506667,True
V,True,2015-01-02,2024-12-30,9.99315537303217,5997473.633333334,1891063411.3263335,True
FXI,True,2015-01-02,2024-12-30,9.99315537303217,59044528.833333336,1800267684.1283333,True
MU,True,2015-01-02,2024-12-30,9.99315537303217,20635373.633333333,1760403724.6596668,True
BRK.B,True,2015-01-02,2024-12-30,9.99315537303217,3855980.816666667,1743520286.0640001,True
COST,True,2015-01-02,2024-12-30,9.99315537303217,1880612.8833333333,1734320007.1388333,True
ADBE,True,2015-01-02,2024-12-30,9.99315537303217,3500460.3833333333,1560505238.89,True
GLD,True,2015-01-02,2024-12-30,9.99315537303217,6454912.6,1553245618.938,True
XOM,True,2015-01-02,2024-12-30,9.99315537303217,14648940.333333334,1549271929.6533334,True
BAC,True,2015-01-02,2024-12-30,9.99315537303217,34308248.56666667,1506475194.5623333,True
MRVL,True,2015-01-02,2024-12-30,9.99315537303217,13124334.1,1465463145.606,True
ASML,True,2015-01-02,2024-12-30,9.99315537303217,2068596.4666666666,1440053430.27,True
WMT,True,2015-01-02,2024-12-30,9.99315537303217,15694138.916666666,1421418161.6825,True
UBER,True,2019-05-10,2024-12-30,5.642710472279261,23272606.0,1414276266.6200001,True
BABA,True,2015-01-02,2024-12-30,9.99315537303217,16458961.166666666,1384692402.9516666,True
DIA,True,2015-01-02,2024-12-30,9.99315537303217,3246644.0,1382323615.8799999,True
INTC,True,2015-01-02,2024-12-30,9.99315537303217,68898818.75,1365574587.625,True
SMH,True,2015-01-02,2024-12-30,9.99315537303217,5528129.233333333,1352512098.2273333,True
NOW,True,2015-01-02,2024-12-30,9.99315537303217,6178990.166666667,1319461560.19,True
