feature,importance
cs_spread,9.89370346069336
dist_from_10d_low,6.53773832321167
month_sin,5.576729774475098
dist_from_5d_high,5.285480499267578
kyle_lambda_approx,4.562362194061279
relative_spread,3.7832717895507812
return_std_10d,3.5143423080444336
natr_7,3.160041332244873
return_skew_5d,3.108229160308838
return_1d_lag5,2.8861911296844482
ll_streak,2.670603036880493
amihud_illiq_10d,2.657956838607788
roc_5,2.193260669708252
price_impact_ratio,2.1607236862182617
upper_shadow_pct,2.0450189113616943
gap_pct,2.0364248752593994
roc_10,2.0192482471466064
return_std_5d,2.019214391708374
dist_from_5d_low,1.8595409393310547
return_skew_10d,1.7987926006317139
day_of_month,1.7421298027038574
sma_10,1.7396328449249268
dist_from_10d_high,1.711429238319397
volume_turnover_5d,1.6928142309188843
body_pct,1.6514253616333008
month,1.4723321199417114
obv,1.4542204141616821
lower_shadow_pct,1.2857365608215332
return_1d_lag2,1.2803432941436768
return_1d,1.2694988250732422
return_1d_lag1,1.113996148109436
amihud_illiq_5d,1.0373162031173706
return_2d,0.9536078572273254
return_3d,0.9383671283721924
vol_ratio_10,0.8638150691986084
atr_7,0.830610990524292
month_cos,0.7985994815826416
hh_streak,0.7688289880752563
ibs,0.6565084457397461
is_day_3,0.6205992102622986
gap_filled,0.5900578498840332
higher_high,0.5525138974189758
is_may_to_oct,0.49247848987579346
rsi_7,0.473345547914505
day_cos,0.4424470365047455
rsi_2,0.35094743967056274
is_quarter_end_month,0.2363811582326889
day_of_week,0.03912168741226196
ema_21,0.014754131436347961
