combo_id,combo_num,streak_length,streak_mode,entry_timing,hold_period,use_ibs,use_rsi,n_instances,n_symbols,win_rate,win_rate_ci_lower,win_rate_ci_upper,mean_return,median_return,std_return,percentile_5_return,percentile_95_return,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,median_time_to_breakeven,median_time_to_1pct,p_breakeven_by_3d,p_hit_1pct_by_3d,p_hit_2pct_by_7d,p_value,is_significant_bonferroni,is_significant_fdr
S1_AT_CLOS_H1,1,1,AT_LEAST,CLOSE_T,1,False,False,11751,20,0.5249765977363628,0.5159409383782345,0.5339959324895152,0.0024224140014147363,0.0010576616756928755,0.1318908390871466,-0.04151273291014932,0.044830956452482404,0.017695026704236755,0.011150199749567732,-0.013610419903609831,-0.010213230189427696,1.3001088011651707,1.0,2.0,0.7273423538422262,0.5533146115224237,0.5800357416390094,3.2065008674881493e-08,True,True
S1_AT_CLOS_H2,2,1,AT_LEAST,CLOSE_T,2,False,False,11736,20,0.5404737559645535,0.5314456331807854,0.5494753914627134,0.005397173525431794,0.0026016626086863416,0.18511184857170257,-0.056675049217232244,0.06557195968393839,0.028101353187613864,0.017487271583387438,-0.021438867661682518,-0.015348127547689702,1.3107666706595302,1.0,2.0,0.7282719836400818,0.5540218132242672,0.5807770961145194,9.35844396524058e-19,True,True
S1_AT_CLOS_H3,3,1,AT_LEAST,CLOSE_T,3,False,False,11723,20,0.5438880832551395,0.534859062114898,0.5528883508277412,0.00830073680147382,0.0035405872193436665,0.21937804117804022,-0.0686240691957117,0.08251331087170902,0.03675018841151751,0.02250648905431211,-0.02754636178799136,-0.019539266035414376,1.3341213149802778,1.0,2.0,0.7290795871363985,0.5546361852768062,0.581421137933976,1.0437317801152938e-21,True,True
S1_AT_CLOS_H4,4,1,AT_LEAST,CLOSE_T,4,False,False,11719,20,0.5539721819267855,0.5449562586156235,0.5629527329410412,0.009336863163057041,0.00453030618621123,0.21261967902091575,-0.08096450056190926,0.0968622533797526,0.04298109730960045,0.026398547194046947,-0.03251290023763081,-0.023063640848544644,1.3219705715411272,1.0,2.0,0.7292431094803311,0.5548254970560628,0.5816195921153682,7.384247173475172e-32,True,True
S1_AT_CLOS_H5,5,1,AT_LEAST,CLOSE_T,5,False,False,11714,20,0.5507939218029708,0.5417710530540117,0.5597834870190851,0.011677776880190456,0.005086858610793403,0.24525426418787036,-0.08868517912467781,0.11255558587682384,0.04987197859254221,0.02969492702363475,-0.03690563333179736,-0.02624732784067281,1.3513378335543487,1.0,2.0,0.7292982755676968,0.5550623185931364,0.5818678504353765,2.0167312579356962e-28,True,True
S1_AT_CLOS_H6,6,1,AT_LEAST,CLOSE_T,6,False,False,11709,20,0.5556409599453412,0.5466239655026174,0.5646214572738294,0.013600985593526922,0.006446547377990835,0.2725092984111719,-0.09859670473358141,0.12023308740988825,0.05616012980899847,0.03311113060257864,-0.04072360868876539,-0.028553795515326108,1.3790558257793009,1.0,2.0,0.7291826799897515,0.555213937996413,0.5821163207788881,1.0337021302794758e-33,True,True
S1_AT_CLOS_H7,7,1,AT_LEAST,CLOSE_T,7,False,False,11706,20,0.5554416538527251,0.5464231641120417,0.564423767895074,0.015713416283410667,0.007030511231158711,0.2927605094049382,-0.10283388700930383,0.13093729032965362,0.06180250580990225,0.03597130710741796,-0.0444183679330283,-0.031175111891902384,1.3913727290269837,1.0,2.0,0.7291987015205877,0.5553562275756022,0.5822655048692978,1.778025036472483e-33,True,True
S1_AT_OPEN_H1,8,1,AT_LEAST,OPEN_T1,1,False,False,11736,20,0.5333162917518746,0.5242809340287287,0.5423298462567621,0.0032783036871081345,0.0017629456945930943,0.1373602248482683,-0.0529919962433438,0.05882976827094475,0.017944605670391075,0.011821554649488242,-0.01285145026400929,-0.009540233554188588,1.3963097784103988,1.0,1.0,0.7050102249488752,0.5555555555555556,0.5810327198364008,2.759261707399659e-13,True,True
S1_AT_OPEN_H2,9,1,AT_LEAST,OPEN_T1,2,False,False,11723,20,0.5368079843043589,0.5277709110794746,0.5458209425351974,0.006247241807722697,0.0026531231049122406,0.18530950638710744,-0.06619216700702617,0.07754386899884023,0.028840318859291912,0.018468703532250427,-0.020844017976163018,-0.015449814924092031,1.383625695020671,1.0,1.0,0.7057920327561205,0.5561716284227587,0.581677045124968,8.267285261543698e-16,True,True
S1_AT_OPEN_H3,10,1,AT_LEAST,OPEN_T1,3,False,False,11719,20,0.5454390306340131,0.536410475674075,0.5544378057550537,0.0072614758056415716,0.0039504643962848624,0.1775111992138216,-0.07852067764544003,0.09189417946100073,0.036123012213266956,0.023263143954443136,-0.02690875905905269,-0.019761885478253808,1.3424257928057217,1.0,1.0,0.7060329379639901,0.5563614642887619,0.5818755866541514,3.96229082519908e-23,True,True
S1_AT_OPEN_H4,11,1,AT_LEAST,OPEN_T1,4,False,False,11714,20,0.5454157418473621,0.536385226847173,0.5544164795711252,0.009602358909482094,0.004523493483202827,0.21562018049081094,-0.08795441636950413,0.10582309523740309,0.043651234119241406,0.027476434214161363,-0.03199623386143272,-0.02341639137964782,1.3642616286742817,1.0,1.0,0.7061635649649991,0.556598941437596,0.5821239542427864,4.2540515988696236e-23,True,True
S1_AT_OPEN_H5,12,1,AT_LEAST,OPEN_T1,5,False,False,11709,20,0.5487232043727047,0.5396953362126188,0.5577191130490279,0.01162788618002074,0.005611326830192264,0.25132953032224165,-0.09683576796458282,0.1149877259587114,0.05038688303689449,0.03094482421874996,-0.036253017728405654,-0.02626204238921001,1.3898672771015803,1.0,1.0,0.7060380903578444,0.5566658126227688,0.582372533948245,2.7209203201218756e-26,True,True
S1_AT_OPEN_H6,13,1,AT_LEAST,OPEN_T1,6,False,False,11706,20,0.5494618144541261,0.54043386501892,0.5584573116099243,0.013737149283422827,0.006520331141373724,0.2725935202516997,-0.10144588430830284,0.12547836684277594,0.05636288181074965,0.03404329710470961,-0.04033177165936806,-0.02885805151609251,1.3974809310827276,1.0,1.0,0.7060481804202973,0.5566376217324449,0.5825217837006663,4.959476737545305e-27,True,True
S1_AT_OPEN_H7,14,1,AT_LEAST,OPEN_T1,7,False,False,11704,20,0.5536568694463432,0.5446346464063407,0.5626438817850135,0.015280664216357655,0.0071270007995359735,0.28980049298712196,-0.10797697721436514,0.13268089064611863,0.06198557108400791,0.037180394406636744,-0.04391883941258273,-0.03127030515565184,1.4113663273681376,1.0,1.0,0.7061688311688312,0.5567327409432673,0.5826213260423787,1.799628089835732e-31,True,True
S1_EX_CLOS_H1,15,1,EXACT,CLOSE_T,1,False,False,6145,20,0.5165174938974776,0.5040165404271438,0.5289978089197221,0.0005809659105879401,0.0007337654396478204,0.028027015049698616,-0.041173358492490195,0.041936041639198535,0.01557553436508745,0.010599039276631776,-0.014654835218463029,-0.009842468087337223,1.0628256225948192,1.0,2.0,0.7189585028478438,0.5306753458096013,0.5602929210740439,0.004982307471973428,True,True
S1_EX_CLOS_H2,16,1,EXACT,CLOSE_T,2,False,False,6139,20,0.5303795406417984,0.5178800759073832,0.5428410093591751,0.0017805279495538057,0.002057540799099534,0.03854533836167028,-0.0563959232730983,0.061620120759741874,0.024095864534860845,0.016413373860182417,-0.022190079150094584,-0.014901388860756128,1.0858845690398602,1.0,2.0,0.7196611826030298,0.5311940055383613,0.560840527773253,1.0210698211839476e-06,True,True
S1_EX_CLOS_H3,17,1,EXACT,CLOSE_T,3,False,False,6129,20,0.5416870615108501,0.5291907484706844,0.5541311510812832,0.005694863372139922,0.003159557661927263,0.18492121200272524,-0.06769435124728969,0.07734536813694594,0.03341780252061804,0.02061898098608947,-0.028267386330405143,-0.018965400040785944,1.1822034810722126,1.0,2.0,0.7208353728177517,0.5320606950562897,0.5617555881873062,3.5603271805869435e-11,True,True
S1_EX_CLOS_H4,18,1,EXACT,CLOSE_T,4,False,False,6126,20,0.5461965393405158,0.5337042897808398,0.5586308878583043,0.006496966132221909,0.003757487030364371,0.17880767274718293,-0.08128402090891669,0.08994895647609806,0.03923873394134274,0.02462904001268161,-0.03338689203170297,-0.02246624556811846,1.1752736344575911,1.0,2.0,0.7210251387528567,0.5323212536728698,0.5620306888671237,2.5286550993574156e-13,True,True
S1_EX_CLOS_H5,19,1,EXACT,CLOSE_T,5,False,False,6122,20,0.5452466514211042,0.5327487272502157,0.5576878280743244,0.007844163865011515,0.004023841014436573,0.17041770996268538,-0.08811901485103364,0.10493255666231756,0.04466968653024736,0.027665734022114072,-0.0378868105942216,-0.025524019306020336,1.17903000621172,1.0,2.0,0.7211695524338452,0.5326690623979092,0.5623979091800065,7.612226122385434e-13,True,True
S1_EX_CLOS_H6,20,1,EXACT,CLOSE_T,6,False,False,6118,20,0.5475645635828702,0.5350665021538581,0.560002931433224,0.008064308574242115,0.00494565031049244,0.17210275685091958,-0.09872310923902226,0.11155606416749779,0.049761049157886005,0.031237129008715447,-0.041533444614685125,-0.02793972632197961,1.198095886809538,1.0,2.0,0.7209872507355345,0.5328538738149722,0.5627656096763648,5.288435274942937e-14,True,True
S1_EX_CLOS_H7,21,1,EXACT,CLOSE_T,7,False,False,6115,20,0.5499591169255929,0.537462356962337,0.562393147402661,0.009551576841087006,0.005939496330711156,0.17959852902279044,-0.10227558964964505,0.12316802919235115,0.05405355317408802,0.033866258862783286,-0.045145116868253427,-0.030591866376180017,1.1973289011928354,1.0,2.0,0.7210139002452984,0.5331152902698283,0.5630417007358953,2.9271050012788154e-15,True,True
S1_EX_OPEN_H1,22,1,EXACT,OPEN_T1,1,False,False,6139,20,0.5230493565727317,0.5105446738023138,0.535525211265879,0.0011129652733305158,0.001188675167495131,0.03584963761071586,-0.05153754918444818,0.055381233446041116,0.015425145414734904,0.010672958094595985,-0.014083258342973621,-0.009693670168869406,1.0952824296112393,1.0,2.0,0.6900146603681382,0.5316826844762991,0.5577455611663137,0.0001592693975415699,True,True
S1_EX_OPEN_H2,23,1,EXACT,OPEN_T1,2,False,False,6129,20,0.5232501223690651,0.5107353441170877,0.5357357740283346,0.005008396842942509,0.0016980589879567838,0.18225262128717826,-0.06548040758150504,0.07371853916045755,0.026927861936267908,0.016582820942798632,-0.022027450202980678,-0.015625541350517934,1.2224684059267161,1.0,2.0,0.6911404796867352,0.5325501713166911,0.5586555718714309,0.00014268285437240856,True,True
S1_EX_OPEN_H3,24,1,EXACT,OPEN_T1,3,False,False,6126,20,0.5331374469474371,0.5206273778211258,0.5456059828175536,0.0058171521692280456,0.0030604443366992876,0.17629581341014539,-0.07919625889124178,0.08675916804673564,0.03384262702209425,0.021243497500822467,-0.02805329539918944,-0.0201370365725116,1.2063690393775302,1.0,2.0,0.6914789422135161,0.5328109696376102,0.5589291544237676,1.1316776583526813e-07,True,True
S1_EX_OPEN_H4,25,1,EXACT,OPEN_T1,4,False,False,6122,20,0.537406076445606,0.5248967948512742,0.5498684440271364,0.007173298770345139,0.0036535112545369565,0.1681103740638061,-0.08687683658844275,0.10105422357698897,0.039856542109552445,0.025430050348983668,-0.03315902420415568,-0.02338326558873214,1.2019817550770204,1.0,2.0,0.6916040509637373,0.5331590983338779,0.5592943482522051,2.557293388448317e-09,True,True
S1_EX_OPEN_H5,26,1,EXACT,OPEN_T1,5,False,False,6118,20,0.5371036286368094,0.5245898773204428,0.549570814859171,0.007401073512587983,0.004046238129473941,0.16990719337724827,-0.09834735329368205,0.11041029582268379,0.045330075825170756,0.029105105314166678,-0.037217676991181586,-0.02631022862702533,1.21797165996984,1.0,2.0,0.6914024190912063,0.5331807780320366,0.559660019614253,3.434338666659563e-09,True,True
