symbol,source_used,bars_count,start_date,end_date,error,validated,mismatch_flagged,rejected,mismatch_pct
NVDA,polygon,2533,2015-12-07,2026-01-02,,False,,,
SPY,polygon,2533,2015-12-07,2026-01-02,,False,,,
TSLA,polygon,2533,2015-12-07,2026-01-02,,False,,,
QQQ,polygon,2533,2015-12-07,2026-01-02,,False,,,
MSFT,polygon,2533,2015-12-07,2026-01-02,,False,,,
AAPL,polygon,2533,2015-12-07,2026-01-02,,False,,,
MSTR,polygon,2533,2015-12-07,2026-01-02,,False,,,
AMZN,polygon,2533,2015-12-07,2026-01-02,,False,,,
META,polygon,2533,2015-12-07,2026-01-02,,False,,,
AVGO,polygon,2533,2015-12-07,2026-01-02,,False,,,
PLTR,polygon,1321,2020-09-30,2026-01-02,,False,,,
IWM,polygon,2533,2015-12-07,2026-01-02,,False,,,
GOOGL,polygon,2533,2015-12-07,2026-01-02,,False,,,
AMD,polygon,2533,2015-12-07,2026-01-02,,False,,,
GOOG,polygon,2533,2015-12-07,2026-01-02,,False,,,
TLT,polygon,2533,2015-12-07,2026-01-02,,False,,,
TSM,polygon,2533,2015-12-07,2026-01-02,,False,,,
TQQQ,polygon,2533,2015-12-07,2026-01-02,,False,,,
LLY,polygon,2533,2015-12-07,2026-01-02,,False,,,
NFLX,polygon,2533,2015-12-07,2026-01-02,,False,,,
SMCI,polygon,2533,2015-12-07,2026-01-02,,False,,,
BA,polygon,2533,2015-12-07,2026-01-02,,False,,,
LQD,polygon,2533,2015-12-07,2026-01-02,,False,,,
HYG,polygon,2533,2015-12-07,2026-01-02,,False,,,
UNH,polygon,2533,2015-12-07,2026-01-02,,False,,,
SOXL,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
JPM,polygon,2533,2015-12-07,2026-01-02,,False,,,
CRM,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
XLF,polygon,2533,2015-12-07,2026-01-02,,False,,,
FXI,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
MU,polygon,2533,2015-12-07,2026-01-02,,False,,,
V,polygon,2533,2015-12-07,2026-01-02,,False,,,
BRK.B,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
COST,polygon,2533,2015-12-07,2026-01-02,,False,,,
ADBE,polygon,2533,2015-12-07,2026-01-02,,False,,,
GLD,polygon,2533,2015-12-07,2026-01-02,,False,,,
XOM,polygon,2533,2015-12-07,2026-01-02,,False,,,
BAC,polygon,2533,2015-12-07,2026-01-02,,False,,,
ASML,polygon,2533,2015-12-07,2026-01-02,,False,,,
MRVL,polygon,2533,2015-12-07,2026-01-02,,False,,,
WMT,polygon,2533,2015-12-07,2026-01-02,,False,,,
UBER,polygon,1672,2019-05-10,2026-01-02,,False,,,
DIA,polygon,2533,2015-12-07,2026-01-02,,False,,,
BABA,polygon,2533,2015-12-07,2026-01-02,,False,,,
INTC,polygon,2533,2015-12-07,2026-01-02,,False,,,
SMH,polygon,2533,2015-12-07,2026-01-02,,False,,,
NOW,polygon,2533,2015-12-07,2026-01-02,,False,,,
MA,polygon,2533,2015-12-07,2026-01-02,,False,,,
HD,polygon,2533,2015-12-07,2026-01-02,,False,,,
ORCL,polygon,2533,2015-12-07,2026-01-02,,False,,,
CRWD,polygon,1650,2019-06-12,2026-01-02,,False,,,
QCOM,polygon,2533,2015-12-07,2026-01-02,,False,,,
WFC,polygon,2533,2015-12-07,2026-01-02,,False,,,
GS,polygon,2533,2015-12-07,2026-01-02,,False,,,
PG,polygon,2533,2015-12-07,2026-01-02,,False,,,
